error  * no darle pelota
177K available
Compiling VENTAS.PRG
VENTAS.PRG(10) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(11) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(12) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(13) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(14) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(15) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(16) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(17) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(18) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(19) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(20) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(22) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(23) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(24) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(25) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(26) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(27) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(28) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(29) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(30) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(31) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(32) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(34) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(35) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(36) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(37) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(38) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(39) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(40) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(41) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(42) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(43) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(44) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(46) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(47) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(48) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(49) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(50) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(51) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(52) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(53) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(54) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(55) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(56) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(63) Warning C1004  Ambiguous reference, assuming memvar: 'I'
VENTAS.PRG(67) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(67) Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(68) Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(68) Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(69) Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(69) Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(70) Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(70) Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(72) Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(76) Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(76) Warning C1004  Ambiguous reference, assuming memvar: 'I'
VENTAS.PRG(90) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(91) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(92) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(93) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(94) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(95) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(96) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(97) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(98) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(99) Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(100)    Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(101)    Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(103)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(104)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(105)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(106)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(107)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(108)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(109)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(110)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(111)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(112)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(113)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(114)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(116)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(117)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(118)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(119)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(120)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(121)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(122)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(123)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(124)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(125)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(126)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(127)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(129)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(130)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(131)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(132)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(133)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(134)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(135)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(136)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(137)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(138)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(139)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(140)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(147)    Warning C1004  Ambiguous reference, assuming memvar: 'I'
VENTAS.PRG(151)    Warning C1004  Ambiguous reference, assuming memvar: 'CAMP'
VENTAS.PRG(151)    Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(152)    Warning C1004  Ambiguous reference, assuming memvar: 'TIPO'
VENTAS.PRG(152)    Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(153)    Warning C1004  Ambiguous reference, assuming memvar: 'LON'
VENTAS.PRG(153)    Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(154)    Warning C1004  Ambiguous reference, assuming memvar: 'DECI'
VENTAS.PRG(154)    Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(156)    Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(160)    Warning C1003  Ambiguous reference: 'I'
VENTAS.PRG(160)    Warning C1004  Ambiguous reference, assuming memvar: 'I'
VENTAS.PRG(178)    Warning C1004  Ambiguous reference, assuming memvar: 'FECHA'
VENTAS.PRG(179)    Warning C1004  Ambiguous reference, assuming memvar: 'HORA'
VENTAS.PRG(180)    Warning C1004  Ambiguous reference, assuming memvar: 'CODIGO'
VENTAS.PRG(181)    Warning C1004  Ambiguous reference, assuming memvar: 'CANTIDAD'
VENTAS.PRG(182)    Warning C1004  Ambiguous reference, assuming memvar: 'DETALLE'
VENTAS.PRG(183)    Warning C1004  Ambiguous reference, assuming memvar: 'CODIGBARRA'
VENTAS.PRG(184)    Warning C1004  Ambiguous reference, assuming memvar: 'PRECIO'
VENTAS.PRG(185)    Warning C1004  Ambiguous reference, assuming memvar: 'SUBTOTAL'
VENTAS.PRG(186)    Warning C1004  Ambiguous reference, assuming memvar: 'TOTAL'
VENTAS.PRG(187)    Warning C1004  Ambiguous reference, assuming memvar: 'OPERADOR'
VENTAS.PRG(188)    Warning C1004  Ambiguous reference, assuming memvar: 'NUMEROCAJA'
VENTAS.PRG(193)    Warning C1003  Ambiguous reference: 'CODIGO'
VENTAS.PRG(195)    Warning C1004  Ambiguous reference, assuming memvar: 'IR'
VENTAS.PRG(196)    Warning C1004  Ambiguous reference, assuming memvar: 'SALE'
VENTAS.PRG(203)    Warning C1003  Ambiguous reference: 'IR'
